Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Occasion (product.metafields.shopify.occasion),Saison (product.metafields.shopify.season),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lattafa-fakhar-black-100ml,Lattafa Fakhar Black - Eau de parfum 100ml,"<p>Une fragrance aromatique et boisée, élégante et masculine, rappelant les grands classiques de la parfumerie.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Pomme, Bergamote, Gingembre<br>Cœur : Lavande, Sauge, Baies de genièvre<br>Fond : Fève tonka, Bois de cèdre, Vétiver</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 100 ml<br> • Marque : Lattafa</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,29.90,40.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,quotidien; travail,printemps; ete; automne,,kg,,,active
afnan-supremacy-not-only-intense-100ml,Afnan Supremacy Not Only Intense - Extrait de parfum 100ml,"<p>Un extrait de parfum fruité et fumé, à la tenue nucléaire et au sillage envoûtant.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Cassis, Bergamote, Pomme<br>Cœur : Mousse de chêne, Patchouli, Lavande<br>Fond : Ambre gris, Musc, Safran</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 100 ml<br> • Marque : Afnan</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,55.00,75.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,soiree; formelle,printemps; automne; hiver,,kg,,,active
armaf-club-de-nuit-sillage-105ml,Armaf Club de Nuit Sillage - Eau de parfum 105ml,"<p>Un parfum hespéridé, frais et métallique, idéal pour se démarquer par une aura cristalline.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Bergamote, Citron, Violette<br>Cœur : Rose, Iris, Jasmin<br>Fond : Ambroxan, Musc, Cèdre</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 105 ml<br> • Marque : Armaf</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,42.50,55.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,quotidien; sport,printemps; ete,,kg,,,active
lattafa-badee-al-oud-oud-for-glory-100ml,Lattafa Bade'e Al Oud (Oud for Glory) - Eau de parfum 100ml,"<p>Une composition majestueuse mêlant oud, safran et lavande pour un rendu mystique et puissant.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Safran, Muscade, Lavande<br>Cœur : Bois de Oud, Patchouli<br>Fond : Bois de Oud, Patchouli, Musc</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 100 ml<br> • Marque : Lattafa</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,35.00,45.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,soiree; hiver,automne; hiver,,kg,,,active
swiss-arabian-casablanca-100ml,Swiss Arabian Casablanca - Eau de parfum 100ml,"<p>Une fragrance gourmande irrésistible autour du caramel, de la pomme et du raisin, enveloppante et chaleureuse.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Pomme, Raisin<br>Cœur : Bois blancs, Iris, Patchouli<br>Fond : Caramel, Ambre, Baume du Pérou</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 100 ml<br> • Marque : Swiss Arabian</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,49.00,60.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,quotidien; soiree,automne; hiver,,kg,,,active
rasasi-la-yuqawam-75ml,Rasasi La Yuqawam - Eau de parfum 75ml,"<p>L'incarnation parfaite de l'accord cuir-framboise. Un parfum luxueux, profond et extrêmement raffiné.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Framboise, Safran, Thym<br>Cœur : Oliban, Jasmin, Armoise<br>Fond : Cuir, Daim, Ambre, Notes boisées</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 75 ml<br> • Marque : Rasasi</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,70.00,85.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,formelle; occasion-speciale,automne; hiver,,kg,,,active
al-haramain-detour-noir-100ml,Al Haramain Détour Noir - Eau de parfum 100ml,"<p>Un mariage captivant de vanille, d'amande et d'épices, offrant un sillage doux, frais et oriental.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Amande, Jasmin, Cyprès<br>Cœur : Ambre, Cèdre, Héliotrope<br>Fond : Vanille, Musc, Bois de santal</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 100 ml<br> • Marque : Al Haramain</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,34.50,45.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,quotidien; soiree,printemps; automne; hiver,,kg,,,active
maison-alhambra-jean-lowe-immortal-100ml,Maison Alhambra Jean Lowe Immortal - Eau de parfum 100ml,"<p>Frais, hespéridé et épicé, ce parfum respire la sophistication grâce à son pamplemousse éclatant et son fond ambré.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Pamplemousse, Gingembre, Bergamote<br>Cœur : Romarin, Notes aquatiques, Géranium<br>Fond : Ambroxan, Ambre, Labdanum</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 100 ml<br> • Marque : Maison Alhambra</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,32.00,45.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,quotidien; travail,printemps; ete,,kg,,,active
lattafa-nebras-100ml,Lattafa Nebras - Eau de parfum 100ml,"<p>Un délice gourmand combinant baies rouges, vanille et cacao. Réconfortant et totalement addictif.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Fruits rouges, Mandarine<br>Cœur : Vanille, Cacao, Rose<br>Fond : Sucre, Fève tonka, Musc, Ambre</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 100 ml<br> • Marque : Lattafa</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,38.90,50.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,quotidien; romantique,automne; hiver,,kg,,,active
fragrance-world-barakkat-rouge-540-100ml,Fragrance World Barakkat Rouge 540 - Eau de parfum 100ml,"<p>Un ambré floral rayonnant, offrant une signature olfactive aérienne et envoûtante, à la fois transparente et intense.</p>
<p>✨ Idéal pour le quotidien<br>✨ Longue tenue et sillage élégant</p>
<p>⸻</p>
<p>🌿 Notes olfactives</p>
<p>Tête : Jasmin, Safran<br>Cœur : Bois d'ambre, Ambre gris<br>Fond : Résine de sapin, Cèdre</p>
<p>⸻</p>
<p>📦 Détails<br> • Eau de parfum – 100 ml<br> • Marque : Fragrance World</p>
<p>⸻</p>
<p>💬 Pourquoi choisir ce parfum ?</p>
<p>Une fragrance inoubliable, idéale pour laisser une empreinte mémorable.</p>",K&M parfumerie,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,,,true,Title,Default Title,,,,,,,,,500.0,shopify,5,deny,manual,24.90,35.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1053/8290/4133/files/placeholder-perfume.jpg,1,,false,,,formelle; soiree,printemps; automne; hiver,,kg,,,active
